,CS_PropertyID,cluster,size,empl_gr,Rent,leasing_rate,stories,age,renovated,class_a,class_b,LEED,Energystar,green_rating,net,amenities,cd_total_07,hd_total07,total_dd_07,Precipitation,Gas_Costs,Electricity_Costs,cluster_rent,hd_total07_quantiles,cd_total_07_quantiles,total_dd_07_quantiles,Rent_cooling,Rent_heating,Rent_total,class
10,378642,1163,101836,2.22,18.0,86.11,6,23,0,1,0,0,1,1,0,0,4988,58,5046,42.57,0.0137,0.028999999999999998,18.0,<1000,4000-5000,5000-6000,23.406250000000004,27.394571428571435,28.284842105263156,A
11,586222,78,390480,2.1,22.8,100.0,2,20,1,0,1,0,1,1,0,0,4607,1113,5720,22.71,0.0103,0.0378,16.2,1000-2000,4000-5000,5000-6000,23.406250000000004,32.45554858934167,28.284842105263156,B
12,197452,188,70069,2.1,17.37,100.0,4,15,0,1,0,0,1,1,0,0,4607,1113,5720,22.71,0.0103,0.0378,19.785,1000-2000,4000-5000,5000-6000,23.406250000000004,32.45554858934167,28.284842105263156,A
13,197382,226,68955,2.1,19.8,85.0,2,19,0,0,1,0,1,1,0,0,4607,1113,5720,22.71,0.0103,0.0378,21.24,1000-2000,4000-5000,5000-6000,23.406250000000004,32.45554858934167,28.284842105263156,B
14,197915,251,112791,2.1,21.42,100.0,6,18,0,1,0,0,1,1,0,0,4607,1113,5720,22.71,0.0103,0.0378,22.05,1000-2000,4000-5000,5000-6000,23.406250000000004,32.45554858934167,28.284842105263156,A
15,91917,969,72250,2.1,28.47,96.95,4,16,0,1,0,0,1,1,0,0,4607,1113,5720,22.71,0.0103,0.0378,24.215,1000-2000,4000-5000,5000-6000,23.406250000000004,32.45554858934167,28.284842105263156,A
16,196638,1017,103986,2.1,21.0,82.5,7,18,0,1,0,0,1,1,0,0,4607,1113,5720,22.71,0.0103,0.0378,21.0,1000-2000,4000-5000,5000-6000,23.406250000000004,32.45554858934167,28.284842105263156,A
17,197763,1018,112083,2.1,27.0,85.52,6,18,0,1,0,0,1,1,0,1,4607,1113,5720,22.71,0.0103,0.0378,27.0,1000-2000,4000-5000,5000-6000,23.406250000000004,32.45554858934167,28.284842105263156,A
18,197345,1167,38808,2.1,19.8,69.72,2,19,0,0,1,0,1,1,0,0,4607,1113,5720,22.71,0.0103,0.0378,21.24,1000-2000,4000-5000,5000-6000,23.406250000000004,32.45554858934167,28.284842105263156,B
19,201862,1211,145329,2.1,34.08,99.85,11,34,1,0,1,0,1,1,0,0,4607,1113,5720,22.71,0.0103,0.0378,18.0,1000-2000,4000-5000,5000-6000,23.406250000000004,32.45554858934167,28.284842105263156,B
20,409676,201,355869,3.7,18.25,81.06,16,27,1,0,1,0,1,1,0,1,3125,2080,5205,25.55,0.0101,0.0289,17.375,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,B
21,409450,202,254149,3.7,18.25,95.26,14,33,1,0,1,0,1,1,0,1,3125,2080,5205,25.55,0.0101,0.0289,17.0,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,B
22,409359,203,1113575,3.7,18.25,73.4,45,23,1,1,0,0,1,1,1,1,3125,2080,5205,25.55,0.0101,0.0289,16.385,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
23,410041,227,292624,3.7,19.98,87.05,16,21,0,1,0,0,1,1,1,1,3125,2080,5205,25.55,0.0101,0.0289,17.0,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
24,408425,234,260023,3.7,20.42,84.85,10,21,0,1,0,0,1,1,0,1,3125,2080,5205,25.55,0.0101,0.0289,14.75,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
25,409856,235,163584,3.7,20.42,83.08,16,22,0,1,0,0,1,1,0,1,3125,2080,5205,25.55,0.0101,0.0289,20.21,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
26,416455,242,195991,3.7,20.87,91.36,9,8,0,1,0,0,1,1,1,0,3125,2080,5205,25.55,0.0101,0.0289,24.75,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
27,1319294,257,200028,3.7,21.5,0.0,4,0,0,0,1,0,1,1,0,0,3125,2080,5205,25.55,0.0101,0.0289,19.625,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,B
28,410034,263,395901,3.7,21.94,95.2,21,21,0,1,0,0,1,1,1,1,3125,2080,5205,25.55,0.0101,0.0289,20.22,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
29,409037,317,256250,3.7,24.5,95.88,10,6,0,1,0,0,1,1,0,1,3125,2080,5205,25.55,0.0101,0.0289,25.375,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
30,409036,318,256111,3.7,24.5,98.77,10,8,0,1,0,0,1,1,0,1,3125,2080,5205,25.55,0.0101,0.0289,25.375,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
31,420373,319,226904,3.7,24.5,77.42,8,9,0,1,0,0,1,1,0,0,3125,2080,5205,25.55,0.0101,0.0289,18.5,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
32,409896,381,184794,3.7,28.5,95.16,16,23,1,1,0,0,1,1,1,1,3125,2080,5205,25.55,0.0101,0.0289,26.5,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
33,422543,394,954895,3.7,29.37,97.21,40,25,0,1,0,0,1,1,0,0,3125,2080,5205,25.55,0.0101,0.0289,17.25,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
34,409380,962,253981,3.7,18.0,82.07,12,25,1,0,1,0,1,1,0,1,3125,2080,5205,25.55,0.0101,0.0289,18.0,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,B
35,409869,972,185545,3.7,19.75,88.7,9,24,1,0,1,0,1,1,0,1,3125,2080,5205,25.55,0.0101,0.0289,19.75,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,B
36,606663,1026,214000,3.7,18.25,100.0,7,6,0,1,0,0,1,1,0,1,3125,2080,5205,25.55,0.0101,0.0289,14.5,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
37,420025,1031,159212,3.7,24.5,90.95,6,10,0,1,0,0,1,1,0,0,3125,2080,5205,25.55,0.0101,0.0289,18.965,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
38,409977,1033,464470,3.7,20.57,94.98,18,21,0,1,0,0,1,1,1,1,3125,2080,5205,25.55,0.0101,0.0289,19.25,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
39,409599,1036,364336,3.7,23.26,85.74,20,19,0,1,0,0,1,1,1,1,3125,2080,5205,25.55,0.0101,0.0289,24.88,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
40,409842,1037,369659,3.7,23.59,69.39,20,23,0,1,0,0,1,1,1,1,3125,2080,5205,25.55,0.0101,0.0289,20.0,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
41,409892,1040,394324,3.7,19.0,81.28,19,22,1,1,0,0,1,1,0,1,3125,2080,5205,25.55,0.0101,0.0289,19.25,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
42,409597,1045,515388,3.7,24.71,88.01,11,21,0,1,0,0,1,1,0,1,3125,2080,5205,25.55,0.0101,0.0289,19.0,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
43,409600,1054,372550,3.7,16.5,67.1,16,26,1,1,0,0,1,1,0,1,3125,2080,5205,25.55,0.0101,0.0289,18.175,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
44,410050,1055,349569,3.7,16.5,68.82,17,22,0,1,0,0,1,1,0,1,3125,2080,5205,25.55,0.0101,0.0289,17.5,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
45,409481,1056,283707,3.7,23.0,96.16,17,23,0,1,0,0,1,1,0,1,3125,2080,5205,25.55,0.0101,0.0289,19.5,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
46,410114,1068,1303161,3.7,24.0,64.17,42,19,0,1,0,0,1,1,0,1,3125,2080,5205,25.55,0.0101,0.0289,18.625,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
47,410038,1077,159326,3.7,28.92,89.5,8,21,0,1,0,0,1,1,0,1,3125,2080,5205,25.55,0.0101,0.0289,28.92,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
48,419750,1082,378501,3.7,26.77,84.02,16,9,0,1,0,0,1,1,1,1,3125,2080,5205,25.55,0.0101,0.0289,18.0,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
49,409631,1097,1200266,3.7,25.72,91.45,60,21,0,1,0,0,1,1,1,1,3125,2080,5205,25.55,0.0101,0.0289,17.22,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
50,409817,1173,491803,3.7,21.25,74.63,20,25,0,1,0,0,1,1,0,1,3125,2080,5205,25.55,0.0101,0.0289,20.625,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
51,420595,1197,220661,3.7,28.5,94.64,20,7,0,1,0,0,1,1,0,1,3125,2080,5205,25.55,0.0101,0.0289,29.0,2000-3000,3000-4000,5000-6000,21.90413043478261,29.27700854700855,28.284842105263156,A
52,810508,215,648047,1.91,19.0,100.0,27,13,0,1,0,0,1,1,0,0,2334,3155,5489,49.32,0.0129,0.0234,15.5,3000-4000,2000-3000,5000-6000,21.45463414634146,34.625238095238096,28.284842105263156,A
53,810431,380,365916,1.91,28.5,99.48,14,7,0,1,0,0,1,1,0,0,2334,3155,5489,49.32,0.0129,0.0234,25.54,3000-4000,2000-3000,5000-6000,21.45463414634146,34.625238095238096,28.284842105263156,A
54,129172,57,99916,0.97,39.5,95.79,11,37,1,0,1,1,0,1,0,1,1813,3904,5717,45.73,0.0145,0.0327,43.345,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,B
55,132142,66,235000,0.97,26.5,75.77,3,38,0,1,0,0,1,1,0,0,1813,3904,5717,45.73,0.0131,0.0309,35.0,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
56,129694,90,466336,0.97,35.94,99.87,12,16,0,1,0,0,1,1,0,1,1813,3904,5717,45.73,0.0145,0.0327,42.185,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
57,817883,94,393568,0.97,50.53,94.52,12,1,0,1,0,1,0,1,1,1,1813,3904,5717,45.73,0.0145,0.0327,42.185,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
58,1533602,250,195253,7.55,21.37,74.55,10,18,0,0,1,0,1,1,1,0,1536,3972,5508,16.37,0.0105,0.0223,21.435,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,B
59,1326814,289,81000,7.55,23.0,87.81,3,1,0,0,1,1,0,1,0,0,1536,3972,5508,16.37,0.0105,0.0223,21.86,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,B
60,131255,334,238437,0.97,25.27,97.22,9,35,1,1,0,0,1,1,0,1,1813,3904,5717,45.73,0.0131,0.0309,24.08,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
61,136882,342,244000,0.97,25.84,93.94,5,8,0,1,0,0,1,1,0,1,1813,3904,5717,46.51,0.0123,0.0182,27.5,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
62,137350,387,133399,0.97,29.0,93.3,12,42,0,0,1,0,1,1,0,0,1813,3904,5717,46.51,0.0123,0.0182,33.415,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,B
63,134762,389,267651,0.97,29.0,100.0,9,25,0,1,0,0,1,1,0,1,1813,3904,5717,46.51,0.0123,0.0182,29.0,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
64,131393,392,287216,0.97,29.0,100.0,5,14,0,1,0,0,1,1,0,0,1813,3904,5717,45.73,0.0131,0.0309,29.43,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
65,137336,429,162374,0.97,32.0,84.16,12,40,0,0,0,0,1,1,0,0,1813,3904,5717,46.51,0.0123,0.0182,34.425,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,C
66,134761,432,308533,0.97,32.0,97.93,9,22,0,1,0,0,1,1,0,1,1813,3904,5717,46.51,0.0123,0.0182,32.0,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
67,134763,433,298468,0.97,32.0,93.56,9,24,0,1,0,0,1,1,0,1,1813,3904,5717,46.51,0.0123,0.0182,32.0,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
68,134764,434,269786,0.97,32.0,91.39,16,27,0,1,0,0,1,1,0,1,1813,3904,5717,46.51,0.0123,0.0182,32.0,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
69,649276,459,196004,0.97,34.3,89.5,7,2,0,1,0,1,0,1,0,1,1813,3904,5717,46.51,0.0123,0.0182,33.9,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
70,137411,460,272516,0.97,34.34,94.77,14,17,0,1,0,0,1,1,0,0,1813,3904,5717,46.51,0.0123,0.0182,33.92,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
71,132145,461,288000,0.97,34.5,89.78,5,14,0,1,0,0,1,1,0,0,1813,3904,5717,45.73,0.0131,0.0309,30.68,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
72,137434,463,433026,0.97,34.63,87.62,11,17,0,1,0,0,1,1,0,1,1813,3904,5717,46.51,0.0123,0.0182,33.29,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
73,137477,466,465998,0.97,34.9,92.67,11,20,0,1,0,0,1,1,0,1,1813,3904,5717,46.51,0.0123,0.0182,34.425,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
74,137328,476,336653,0.97,36.08,100.0,8,20,0,1,0,0,1,1,0,1,1813,3904,5717,46.51,0.0123,0.0182,35.4,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
75,137593,479,503816,0.97,36.33,72.72,11,19,0,1,0,0,1,1,0,1,1813,3904,5717,46.51,0.0123,0.0182,34.07,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
76,137591,481,441730,0.97,36.5,99.49,11,23,0,1,0,0,1,1,0,1,1813,3904,5717,46.51,0.0123,0.0182,35.16,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
77,137499,483,503938,0.97,36.61,12.39,12,22,1,1,0,0,1,1,0,1,1813,3904,5717,46.51,0.0123,0.0182,34.85,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
78,137445,494,352130,0.97,38.25,99.13,15,24,0,0,1,0,1,1,0,1,1813,3904,5717,46.51,0.0123,0.0182,35.4,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,B
79,135821,497,270000,0.97,38.65,95.63,9,8,0,1,0,0,1,1,0,1,1813,3904,5717,46.51,0.0123,0.0182,35.0,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
80,136178,508,216926,0.97,40.5,100.0,9,7,0,1,0,0,1,1,0,0,1813,3904,5717,46.51,0.0123,0.0182,35.885,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
81,703590,513,84174,0.97,41.63,83.53,11,1,0,1,0,1,0,1,0,1,1813,3904,5717,45.73,0.0145,0.0327,40.9,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
82,693241,522,310741,0.97,42.5,44.94,12,1,0,1,0,1,0,1,0,0,1813,3904,5717,46.51,0.0123,0.0182,33.29,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
83,348678,525,275352,0.97,43.0,93.83,7,6,0,1,0,0,1,1,0,1,1813,3904,5717,45.73,0.0145,0.0327,43.0,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
84,129218,532,591840,0.97,45.25,94.09,12,17,0,1,0,0,1,1,0,1,1813,3904,5717,45.73,0.0145,0.0327,40.0,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
85,129264,540,419619,0.97,47.99,100.0,12,93,1,1,0,1,1,1,1,1,1813,3904,5717,45.73,0.0145,0.0327,45.53,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
86,129029,545,400215,0.97,49.8,94.09,10,20,0,1,0,0,1,1,0,1,1813,3904,5717,45.73,0.0145,0.0327,45.13,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
87,129190,554,176390,0.97,60.0,100.0,10,38,1,1,0,1,0,1,0,0,1813,3904,5717,45.73,0.0145,0.0327,44.05,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
88,130984,1043,184555,0.97,28.81,91.9,11,25,0,1,0,0,1,1,0,1,1813,3904,5717,45.73,0.0131,0.0309,27.99,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
89,129210,1091,465356,0.97,33.0,99.59,12,18,0,1,0,0,1,1,0,1,1813,3904,5717,45.73,0.0145,0.0327,40.05,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
90,5980600,1162,138651,2.91,18.0,100.0,5,22,0,1,0,0,1,1,0,0,1710,3690,5400,46.51,0.0123,0.0182,13.045,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
91,130717,1199,216000,0.97,29.79,96.6,10,20,0,1,0,0,1,1,0,1,1813,3904,5717,45.73,0.0131,0.0309,32.395,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
92,129467,1227,279507,0.97,50.95,100.0,8,40,1,1,0,0,1,1,0,1,1813,3904,5717,45.73,0.0145,0.0327,43.355,3000-4000,1000-2000,5000-6000,28.566962962962958,34.625238095238096,28.284842105263156,A
93,139833,326,225000,0.32,25.0,88.0,9,96,1,0,1,1,0,1,0,0,1447,4502,5949,45.73,0.0131,0.0309,18.225,4000-5000,1000-2000,5000-6000,28.566962962962958,33.789298245614034,28.284842105263156,B
94,853447,336,52000,0.32,25.5,75.59,2,0,0,1,0,1,0,1,0,0,1447,4502,5949,45.73,0.0131,0.0309,22.035,4000-5000,1000-2000,5000-6000,28.566962962962958,33.789298245614034,28.284842105263156,A
95,1393348,84,340657,1.93,18.09,93.45,23,15,0,1,0,0,1,1,1,0,4854,0,4854,47.95,0.0289,0.0628,18.85,<1000,4000-5000,4000-5000,23.406250000000004,27.394571428571435,23.499026548672568,A
96,1440283,144,27100,1.93,9.0,100.0,6,106,0,0,1,1,0,1,0,0,4854,0,4854,47.95,0.0289,0.0628,18.12,<1000,4000-5000,4000-5000,23.406250000000004,27.394571428571435,23.499026548672568,B
97,5329242,233,143200,1.93,20.4,97.85,18,18,0,0,1,0,1,1,0,0,4854,0,4854,47.95,0.0289,0.0628,22.43,<1000,4000-5000,4000-5000,23.406250000000004,27.394571428571435,23.499026548672568,B
98,1516146,383,379336,1.93,28.5,100.0,30,11,0,1,0,0,1,1,0,0,4854,0,4854,47.95,0.0289,0.0628,19.39,<1000,4000-5000,4000-5000,23.406250000000004,27.394571428571435,23.499026548672568,A
99,86081,29,388325,4.72,23.0,76.82,22,22,0,1,0,0,1,1,0,1,3939,376,4315,42.57,0.0137,0.028999999999999998,20.49,<1000,3000-4000,4000-5000,21.90413043478261,27.394571428571435,23.499026548672568,A
100,380299,276,161683,4.72,22.26,94.13,3,22,0,0,1,0,1,1,0,0,3939,376,4315,42.57,0.0137,0.028999999999999998,22.26,<1000,3000-4000,4000-5000,21.90413043478261,27.394571428571435,23.499026548672568,B
101,380537,287,272714,4.72,23.0,92.93,19,26,0,1,0,0,1,1,0,1,3939,376,4315,42.57,0.0137,0.028999999999999998,19.105,<1000,3000-4000,4000-5000,21.90413043478261,27.394571428571435,23.499026548672568,A
102,382109,288,116723,4.72,23.0,50.07,6,22,0,1,0,0,1,1,0,0,3939,376,4315,42.57,0.0137,0.028999999999999998,18.0,<1000,3000-4000,4000-5000,21.90413043478261,27.394571428571435,23.499026548672568,A
103,380795,366,640741,3.71,27.23,87.95,30,19,0,1,0,0,1,1,0,1,3623,403,4026,42.57,0.0137,0.028999999999999998,24.0,<1000,3000-4000,4000-5000,21.90413043478261,27.394571428571435,23.499026548672568,A
104,380262,983,215523,4.72,27.0,91.15,10,21,0,1,0,0,1,1,0,1,3939,376,4315,42.57,0.0137,0.028999999999999998,21.5,<1000,3000-4000,4000-5000,21.90413043478261,27.394571428571435,23.499026548672568,A
105,380386,1022,254808,4.72,27.5,96.84,13,23,0,1,0,0,1,1,0,1,3939,376,4315,42.57,0.0137,0.028999999999999998,27.5,<1000,3000-4000,4000-5000,21.90413043478261,27.394571428571435,23.499026548672568,A
106,236739,6,210038,4.01,12.5,94.33,11,38,0,0,1,0,1,1,0,1,2746,1670,4416,25.55,0.0101,0.0289,17.5,1000-2000,2000-3000,4000-5000,21.45463414634146,32.45554858934167,23.499026548672568,B
107,233899,34,1721242,4.01,27.75,77.16,71,24,0,1,0,0,1,1,0,1,2746,1670,4416,25.55,0.0101,0.0289,20.25,1000-2000,2000-3000,4000-5000,21.45463414634146,32.45554858934167,23.499026548672568,A
108,233985,41,371192,4.01,17.8,84.56,23,60,1,0,1,0,1,1,0,1,2746,1670,4416,25.55,0.0101,0.0289,18.05,1000-2000,2000-3000,4000-5000,21.45463414634146,32.45554858934167,23.499026548672568,B
109,234717,65,310296,4.01,21.49,99.2,14,24,0,1,0,0,1,1,0,1,2746,1670,4416,25.55,0.0101,0.0289,19.275,1000-2000,2000-3000,4000-5000,21.45463414634146,32.45554858934167,23.499026548672568,A
110,591697,79,76797,5.72,20.0,96.76,3,5,0,1,0,0,1,1,0,0,2629,1923,4552,25.55,0.0101,0.0289,21.5,1000-2000,2000-3000,4000-5000,21.45463414634146,32.45554858934167,23.499026548672568,A
111,42094,151,209914,4.01,12.5,95.09,11,38,0,0,1,0,1,1,0,1,2746,1670,4416,25.55,0.0101,0.0289,18.0,1000-2000,2000-3000,4000-5000,21.45463414634146,32.45554858934167,23.499026548672568,B
112,234022,152,386272,4.01,12.62,95.92,19,25,0,1,0,0,1,1,0,1,2746,1670,4416,25.55,0.0101,0.0289,15.25,1000-2000,2000-3000,4000-5000,21.45463414634146,32.45554858934167,23.499026548672568,A
113,234013,156,509997,4.01,13.5,89.36,20,26,1,1,0,0,1,1,0,1,2746,1670,4416,25.55,0.0101,0.0289,18.0,1000-2000,2000-3000,4000-5000,21.45463414634146,32.45554858934167,23.499026548672568,A
114,119729,170,623743,4.01,15.23,97.61,34,23,0,1,0,0,1,1,0,1,2746,1670,4416,25.55,0.0101,0.0289,17.0,1000-2000,2000-3000,4000-5000,21.45463414634146,32.45554858934167,23.499026548672568,A
115,235868,177,228883,4.01,16.05,99.08,12,24,0,1,0,0,1,1,0,0,2746,1670,4416,25.55,0.0101,0.0289,17.5,1000-2000,2000-3000,4000-5000,21.45463414634146,32.45554858934167,23.499026548672568,A
116,233903,211,1483308,4.01,18.65,91.43,64,24,0,1,0,0,1,1,0,1,2746,1670,4416,25.55,0.0101,0.0289,26.125,1000-2000,2000-3000,4000-5000,21.45463414634146,32.45554858934167,23.499026548672568,A
117,233930,219,1070279,4.01,19.02,92.34,41,24,0,1,0,0,1,1,0,1,2746,1670,4416,25.55,0.0101,0.0289,18.0,1000-2000,2000-3000,4000-5000,21.45463414634146,32.45554858934167,23.499026548672568,A
118,236007,229,158469,4.01,20.0,96.75,12,24,0,1,0,0,1,1,0,1,2746,1670,4416,25.55,0.0101,0.0289,26.8,1000-2000,2000-3000,4000-5000,21.45463414634146,32.45554858934167,23.499026548672568,A
119,239770,236,136926,4.01,20.63,100.0,6,26,0,0,1,0,1,1,0,0,2746,1670,4416,25.55,0.0101,0.0289,20.22,1000-2000,2000-3000,4000-5000,21.45463414634146,32.45554858934167,23.499026548672568,B
